,Character,Lines,no_sentences,no_words
62,Fergie,"['Hi Chandler!', 'Joey says you don']",2,7
63,Margha,"['Hello, Chandler.', 'Margha.', 'Mar', 'It is okay, if I stay and watch?', 'Oh, my.', 'Which do I like?', 'Well, if I had to chose right now, which by the way I find really weird, I would have to say, Chandler.', 'I', 'I', 'I now find you shallow and um, a dork.', 'All right, bye.']",11,71
64,Bandleader,"['Thank you very much!', 'Ladies and gentlemen, it gives me great pleasure to introduce to you for the very first time, Mr. and Mrs. Chandler Bing!', 'Thank you, thank you very much.', 'If everyone will please take your seats, dinner will be served.', 'Thank you.']",5,54
65,Bobby,"['Hey, Dr. Farber.', ""I'm twelve, I'm not stupid."", 'Hi Dina.', 'Good to see you.', 'Yeah, he took the other one off and hit me with it.', 'Yeah', 'Well', 'Well it', 'You bet I am!', 'And by you.']",10,49
66,Jane,[],0,0
67,Spokeswoman,"['...has become the penicillin of the twenty', 'And the man who made all this possible... Mr. Peter Becker.']",2,21
68,Stephanie,['Well the divorces don'],1,4
69,Petrie,['Loved your Stevie Wonder last night.'],1,7
70,Anchorwoman,[],0,0
71,Hitchhiker,"['No!', 'Yeah, y', 'Wait!', 'Wait!', 'There is the train station!', 'This is where I get off.', 'Well, I have your address and phone number.', 'All right, see ya Pheebs.']",8,39
72,Parker,"['No, no, no wait!', 'Don', 'Why don', 'Rachel, you have life growing inside you.', 'Is there anything in this world more miraculous than', 'Oh well, at least you were lucky to have him.', 'Bow', 'Maaaassapequa, sounds like a magical place.', 'Tell me about Massapequa, is it steep in Native American history?', 'We', 'Aces!', 'What a beautiful place.', 'What a great night!', 'I have to tell you, being here with all of you in Event Room C', 'Dahaaa!', 'Come on!', 'Are you okay?', 'You seem kind of quiet.', 'And I', 'Ah!', 'Oysters!', 'Let me feed you one.', 'Please.', 'I won', 'What are they like?', 'I', 'No, they look too weird.', 'Look!', 'It', 'You do?', '!', 'My God what a fantastically well lit hallway!', 'I must say this apartment, its, its, There are no words', 'It', 'That sounds great.', 'I love games!', 'Or', 'I lose, now', 'Is something wrong?', 'Well, excuse me for putting a good spin on a traffic jam!', 'I', 'So what do you want me to do, you want me to be more negative, less happy?', 'Fine!', 'Well then to quote Ross,', 'Isn']",45,227
73,Paul,"['Yeah?', ""I know, I know, I'm such an idiot."", 'I guess I should have caught on when she started going to the dentist four and five times a week.', 'I mean, how clean can teeth get?', 'Well, you might try accidentally breaking something valuable of hers, say her', 'Ooh, steer clear of you.', 'Ever since she walked out on me, I, uh...', ""No, it's, it's more of a fifth date kinda revelation."", ""Isn't there?"", 'Well, ever', ""It's okay..."", 'Two years.', 'So you still think you, um... might want that fifth date?', 'Thank you!', ""No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in"", 'Yeah.', 'I usually prefer Elizabeth', 'So Ross, what your problem?', 'Why can', 'Okay.', 'Okay.', 'I', 'Fine!', 'Two minutes.', 'Go.', 'I', 'No, unfortunately Lizzie', 'I get that a lot.', 'I had a sister.', 'She passed away.', 'Oh, you don', 'A part of him did yes.', 'I', 'Hi!', 'Hi.', 'No.', 'Oh, here they are right here.', 'Thanks for your help.', 'Just call me Paul.', 'Well maybe you can date him then that would save me the trouble of killing him.', 'Well, we were very young when we had her.', 'Well yeah, it usually, it takes two people to', 'I', 'Yes I did.', 'Hi Ross.', 'Yeah Ross it', 'Sure you did!', 'You came in, you got all awkward, and you ran into the bedroom.', 'You were shouting,', 'I', 'So Ross was in college and decided to jump at the chance to take a young girl to her high school prom.', 'Ross, look, I know I', 'And anyhow, I', 'I beg your pardon?', 'You have a son?', 'Don', 'You two were married?', '!', 'How to make the next one even shorter?', 'Well, this is fun.', 'So Ross, did you kill any of these wives?', 'Are you yelling at me?', '!', 'Really?', '!', 'Wow.', 'What can I say?', 'Then we agree?', 'Neither of us like Ross!', 'Okay look, Ross, just so you know that since Lizzie likes you so much, I', 'Yeah.', 'But then I changed my mind.', 'I', 'Yes it does.', 'I', 'I know.', 'I like it up here.', 'What', 'Honey, we don', 'Okay.', 'I', 'Okay.', 'I', 'I', 'How did you know we were here?', 'Elizabeth, what are you doing here?', '!', 'Why are you yelling?', 'So Lizzie, are', 'Good.', 'Good.', 'Not that we don', 'What do you need from the car?', 'Ross!', 'Ross.', 'You and I are going to have to have a little talk.', 'You', 'Let me just see if I got this straight.', 'I tell you to stay away from my daughter or I', 'No, let me explain!', 'Fired!', '!', 'Ross, let me show you where the guest room is.', 'Hi Phoebe.', 'Can', 'Ross!', 'Good to see you too!', 'Good.', 'Bye!', 'Honey I made a reservation at China Garden, is that okay?', 'It was fine.', 'I', 'Are you talking about having sex?', 'Normal.', 'Nope!', 'That never happened to me!', 'Nope.', 'Okay.', 'Okay.', 'When I was six years old.', 'I wanted a big wheel.', 'And instead my parents got me this little plastic chicken that you hop around on.', 'It was embarrassing', 'It was horrible.', 'They called me chicken boy.', 'And in fifth grade I got into a fight.', 'Well, it wasn', 'Oh, I couldn', 'Chicken?', 'Rachel?', 'No!', 'No!', 'It', 'Hey Chandler?', 'Would you', 'That', 'Five more seconds.', 'Joey!', 'Hey!', 'I have so much more to tell ya, I', 'Wait!', 'Wait!', 'Listen!', 'Listen to this!', 'A surfer.', 'I wanted to be one with the waves, y', 'What?!', 'I can', 'Oh Rachel, I', 'I would really like that.', 'That was']",152,756
74,Jim,"['We have.', 'Maybe we', 'Someone does.', 'Me.', 'So, tell me a little bit about yourself.', 'Do you like to party?', 'You', 'It ain', 'I', 'And your breasts!', 'Hmm!!', '!', 'All right.', 'I write erotic novels, for children.', 'They', 'Oh also, you might be interested to know that I have a Ph.D.', 'Yeah,']",18,67
75,Ballerina,"['Thank you.', 'Thank you.', 'I']",3,7
76,Singer,"['Okay, my next song', 'Hey Phoebe.']",2,8
77,Shelley,"['Question.', ""You're not dating anybody, are you, because I met somebody who would be perfect for you."", 'Do you want a date Saturday?', 'Okay.', ""He's cute, he's funny, he's"", 'Well yeah!', '...Oh God.', 'I', 'Oh!', 'Okay!', 'Phew!', 'I dunno, uh... you just have a', ""Y'know, it's a shame, because you and Lowell would've made a great couple."", 'What?', ""He's cute!"", 'Is Brian...?', ""Well, I think Brian's a little out of your league.""]",17,105
78,Caitlin,"['Ugh, I hate it!', 'I look like an 8', ""It's uh, 27 dollars even."", ""Hey, where's the chicken?"", 'Pizza delivery!', 'Hi!', 'One uh, vegetarian pizza.', ""That's $12.15."", 'What?', '!', 'Oh.', 'Thanks.', ""Y'know, all I'm looking for is the money."", ""I'm gonna try."", ""It's uh, $12.50."", ""No actually umm, I think that they're umm, gas."", 'What?', '!', ""Y'know what umm, actually I, I really, I should go."", ""Y'know what?"", ""That's okay, you guys have ordered so many that this one is on me!"", 'Oh, is there a problem?', 'Oh my God!', 'That was flirting?', '!', 'Wow!', 'The guy with the gas?', '!', 'Really?', '!', 'I just, I thought Joey was there.']",31,160
79,Judge,"['Okay you two are asking the court for an annulment?', 'So based on your petition you are seeking an annulment on the grounds that Mr. Geller is mentally unstable.', 'And based on the fact that Mr. Geller is intravenous drug user.', 'Now it also says here that you lied about your sexual preference before marriage?', 'And finally that you were unable to consummate the marriage.', 'Well, that makes sense since you', 'That won', 'Now if you were two involved in a serious relationship, that really creates a problem.', 'Is there, anything in this record that is actually true?', 'Well, based on what I heard, you two certainly don', 'You need to get out of my chambers.', 'Would you like to spend the night in jail?']",12,139
80,Mark,"['Rachel?', 'Hi.', 'I just talked to Joanna, and she loves you.', 'You got it, you got the job.', 'Yes.', '...and the style number, and the invoice number, and the shipping date.', 'Good.', 'Any questions so far?', 'Twenty percent.', 'Here, let me.', 'And who may I say is calling?', 'Ross of.....', 'Oh hi.', ""It's, it's Mark."", 'Hey, hold on a second.', 'Wh', 'Wow!', 'Somebody wants people to know you have a boyfriend.', ""It's okay, Rachel knows."", ""I can't help it, I'm just, I'm just crazy about you."", ""Okay, okay look, I know I'm being Mr. Inappropriate today, but it's just so tough, I mean see you walking around and I just wanna touch you and hold you, come on no one's around, just, just kiss me."", 'What is going on?', 'Hi, Ross.', 'Actually, it', 'Okay, then.', 'Yeah, me too.', 'So, see ya on Saturday.', 'Oh, hi.', 'It', 'What?', 'Is it my breath?', 'Hi.', 'Well, look, I was just gonna leave a message, isn', 'Rach, are you okay?', 'You wanna talk, I mean I can come over?', 'All right, all right, I', 'It', 'Wow.', 'I', 'Well, then he', 'Hey, what do you want to drink?', 'Is it okay if I finish the apple juice?', 'Hey, what do you want to drink?', ""Um, y'know, before we go ah, there"", 'I', 'Why do all you', 'No.', 'And I don', 'Yep.', 'Yep, that', 'Ahh!', 'Fair, schmair!', ""Y'know?"", 'Look, if you want to get back at Ross, I am here for you.', 'Really?', 'No', 'That', 'Yeah.', 'I can just go home and get back at him by myself.', 'Rachel?', ""How've you been?"", 'Sure, sure.', 'Clever.', ""Yeah, a box full of your desk stuff doesn't exactly say big promotion."", 'Are you sure, because we may have something at Louis Vuitton.', ""Why don't we have dinner tonight and talk about it?""]",66,413
81,Danny,"['Yeah?', 'Okay.', 'Okay.', 'Yesss?', 'So you like the short hair better.', 'I had to cut my hair to get rid of the uh, fogger smell.', 'Absolutely.', 'Some people are just into appearances.', ""That's cool."", 'Cool.', ""Come on, you got the shopping bags and the Sack's catalog."", 'Do you?', 'Okay.', 'Okay!', 'The pizza', ""I'm hungry."", 'Wanna get some pizza?', ""You can keep yelling if there's more."", 'Stop saying that.', 'I hate that.', ""Uh, actually, actually, I'm having a party at my place on Saturday, it's sort of a house warming kind of thing."", ""Yeah, I'm really looking forward to it."", 'Okay, see ya.', 'Hey guys, I just uh, wanted to invite you to the party tomorrow night.', ""Yeah, what's the gala for?"", 'Really!', 'You', 'Okay,', 'Take care.', 'Hey, hi, I need a ladle.', 'You got a ladle?', 'Thanks, see you at the party.', 'Hey!', ""What's going on?"", 'Salad.', 'Bread.', ""Aren't you a chef?"", 'Hey!', 'Rachel!', 'Oh wow, you look great!', 'Glad you could make it.', ""Don't go anywhere, I'll be right back."", 'You two could really hit it off!', ""I'm gonna go mingle."", 'I had a really nice time tonight.', ""I'd love to ask you in, but uh, my sister's visiting and I think she's asleep on the couch."", ""Oh hey, great, you're up."", 'Rachel, this is my sister Krista.', 'Krista, this is Rachel.', 'Like it would help.', 'You are!', 'You are!', 'You are!', 'You are so dead!', ""I'm gonna get you."", 'Oh, damn!', 'I got it on my pants.', 'Yep.', 'Oh, hey Rach!', 'I thought we said seven?', 'What?!', 'Why?', '!', 'Oh great!', 'That', 'Do', 'Are you close with them?', 'Okay, listen, I really like you.', 'Okay?', 'I think this can go somewhere.', ""So what if I'm close to my family, are you gonna let that stand in the way of us?""]",72,419
82,Stripper,"['Hi!', 'So which one of you lucky boys is Chandler?', 'So is that a bedroom?', 'All right, whenever you', 'I']",5,24
83,Man,"[""For God's sake, will you let it go?"", ""There's no Rachel!"", 'Umm, no, I don', 'Sure.', 'Oh, well I thought that ah', 'Uh, the usher told us to come', 'Hey guys!', 'Ready to go?', 'Over a month.', 'Sure, I', 'Who are you?', 'Rachel!', 'So we never got to hear about your wedding!', 'Where did you have it?', 'Hey Joey, hi!', 'I', 'Thank you very much.', 'Oh no', 'Marc Coreger, this is my wife Julie.', 'Hi!', 'Oh uh, up or down?', 'Could you press up too please?', 'Oh yeah?', 'How', 'Car accident.', 'Oh, let me guess some idiot on a cell phone wasn', 'Yeah.', 'Me.', 'Well umm, if you have sometime y', 'I', 'Really?', 'I', 'Dr. Wells is a woman.', 'Clifford Burnett.', ""So, I'm surprised you agreed to have lunch with me."", ""I'm not your brother."", ""It's the police!"", ""That's right, it's officer Goodbody."", 'Hey Rach, I just heard.', ""I'm so sorry."", ""You still don't know my name, do you?"", '18th and East End.', 'Hey!', 'The law says you have to accept any fare.', 'Alright, I gotta report you.', ""What's your medallion number?"", 'What?']",47,246
84,Paula,"['Listen.', ""As someone who's seen more than her fair share of bad beef, I'll tell you"", 'Well, you do realise the odds of that happening are a little slimmer if they never get to meet the guy..', 'No.', 'Waitwait.. we talking about the coyotes here?', 'All right, a cow got through!', 'Honey.. you should always feel', ""Well, he's a big boy, he'll get over it.""]",8,82
85,Realtor,"['Take as long as you want.', ""Just let me know when you're through.""]",2,16
